Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
0.8200554916115952,0.4952600820455644,0.12803404106441707,0.9826172845037695,0.0009338951547378516,0.02256363112600801,0.5075173677268207,0.9701773571244959,0.794338984938455,0.5712779080824704,0.8347121984547939,0.04915117856415907
0.2363853875695412,0.057143777029945,0.4793087961310152,0.7262762071996046,0.13067087589598925,0.08953520277718885,0.6766585641936487,0.341366258311959,0.2060454283951123,0.4969997148142301,0.41600567096461194,0.8689640179464808
0.2275785485454881,0.8503383000419144,0.4093880140956445,0.49419627663390375,0.39348407637244764,0.8713471973607358,0.38089349778626114,0.42962393210954164,0.6360538176618379,0.8578224530000967,0.36047112020971384,0.9504674135162146
0.3691120788536718,0.8053355011372421,0.23147104860803458,0.8414953282261131,0.9298185361282008,0.49503839109139014,0.11673025595761755,0.40416074950152336,0.1116981406002826,0.7915652645475286,0.5965241113509757,0.673869589143955
0.30014060645700746,0.8316780863783295,0.5619360166776631,0.5779381064585781,0.5264406344152616,0.6148153596509226,0.37556537338881124,0.5504522711290121,0.9582075335412588,0.33490976055712485,0.2812319732526848,0.5839518612346604
0.8878392279934078,0.978464924733672,0.6725762199061533,0.22770530485416285,0.2261748006321146,0.2864918197117724,0.43168454825053415,0.34998584362649776,0.020395850651273806,0.3481906171178061,0.3989615326651531,0.5856747499621724
0.48727804356759596,0.453375081393799,0.6922750369049918,0.6418697757671037,0.31463746254329783,0.4136086686323426,0.5318185280946168,0.2834247494657648,0.9761709591317569,0.7158158897715203,0.6963340458977821,0.25478375665627373
0.7351287037362886,0.6120151981141562,0.265400636694749,0.32048851696728764,0.4844243882570084,0.6437864661832228,0.7602599425760002,0.015695808145902324,0.23887199344532695,0.042573773800913095,0.7112152132940084,0.32578568804921515
0.8917751838575411,0.0845420804894238,0.3625111355258056,0.310502652083016,0.8223050433561843,0.041601880731096275,0.589280581571893,0.18184770348696067,0.8575014454494766,0.02077332154310707,0.5721422459562713,0.48275074686229325
0.9443061649220722,0.0336047447709199,0.9044064813622963,0.6677912251575513,0.423815156630278,0.40368618834529824,0.3411126740644458,0.7332516107440903,0.37270625224526743,0.645737676012595,0.02558322832344395,0.6700355400655074
0.5257178475633785,0.33937495634542236,0.9386111755065982,0.24460649922057776,0.8100638078000821,0.6592917663078115,0.16273110490129628,0.5434294299717556,0.5360017544700629,0.9977520721682855,0.6666283896953867,0.9519918329556378
0.3621617786814565,0.519722882750115,0.22731729747588814,0.4982125555533887,0.9168838137981707,0.9660862271490496,0.16137417492908335,0.3667814157955517,0.46266859546970807,0.732945014495319,0.9575128862524811,0.9460214992853795
0.372156583732132,0.2495508022613233,0.9749494217850126,0.4779963864377226,0.9926455823615866,0.7561727662546693,0.19126802959574507,0.24766348228829238,0.31496359504577276,0.31764391184318996,0.6127822056018838,0.8120313197139238
0.5758395949913534,0.5187339961584368,0.14725075123442077,0.9568914896167369,0.5725314963082073,0.22676288218173513,0.6656342626030588,0.37811219123865825,0.21182632887095854,0.3003236070567161,0.39250419665882796,0.42922394154418464
0.16822907243757346,0.8762595180360182,0.1412633221067322,0.379368481921455,0.28743757813988713,0.023187827140745187,0.766956641746217,0.6103830459600158,0.6609487596095578,0.13956796104250624,0.12941566305645769,0.10053207719596535
